meta_country,policy_health,policy_ehealth,policy_his,policy_telehealth,funding_public,funding_private,funding_donor,funding_publicprivate,policy_multilingual,sites_multilingual,training_preservice,training_inservice,population_1000s,lifeexpectancy_years,GNI_percentgdp,healthspend_percentgdp,physician_per10000,ICTdevindex_rank,nurse_per10000,mobilephone_percent,hospitalbed_per10000,internetusers_percent,legal_ehealth,legal_safety,legal_privacyanyformat,legal_privacydigital,sharing_national,sharing_international,sharing_research,owndata_access,owndata_correction,owndata_deletion,owndata_sharingcontrol,legal_registration,legal_idmanagement,teleradiology,teledermatology,telepathology,telepsychiatry,remotemonitoring,elearning_students_medicine,elearning_students_dentistry,elearning_students_publichealth,elearning_students_nursing,elearning_students_pharmacy,elearning_students_biomedical,elearning_prof_medical,elearning_prof_dentistry,elearning_prof_publichealth,elearning_prof_nursing,elearning_prof_parmacy,elearning_prof_biomedical,ehr_national,ehr_legislation,ehr_primary,ehr_secondary,ehr_tertiary,ehr_laboratory,ehr_pathology,ehr_pharmacy,ehr_pacs,ehr_vaccinationalerts,ehr_billing,ehr_supplychain,ehr_hr,meta_region,sm_policy,sm_policyhealth,sm_org_healthpromotion,sm_org_appointment,sm_org_feedback,sm_org_announcements,sm_org_emergency,sm_ind_learn,sm_ind_decide,sm_ind_feedback,sm_ind_campaign,sm_ind_forum,policy_bigdata_health,policy_bigdata_private,junk_country,mhealth_tollfree,mhealth_callcentre,mhealth_appointments,mhealth_telehealth,mhealth_disaster,mhealth_adherence,mhealth_community,mhealth_infoaccess,mhealth_records,mhealth_mlearning,mhealth_dss,mhealth_monitoring,mhealth_survey,mhealth_surveillance,junk_footer
Cote D Ivoire,Yes 75  2012,Yes 58  2012,Yes 66  2010,No 22  N A,Yes 77   25 ,Yes 40   25 ,Yes 63   25 ,Yes 42   25 ,No 28  N A,No 48 ,No 74  N A,No 77  N A,20 316,53,2 900,5.7,0.14,137,0.48,91.23,4,2.4,Yes 31 ,Yes 46 ,Yes 78 ,Yes 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,Local Pilot,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,Yes 58 ,No 30 ,No 47 ,No 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO African,Region,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,56,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A Cote D,Ivoire,National  Intermediate  Local Established,National  Intermediate  Local Established,National  Intermediate  Local Established,       ,National  Intermediate  Local Established,National  Intermediate  Local Pilot,       ,National  Intermediate  Local Established,       ,Local Informal,       ,Local Informal,       ,National  Intermediate  Local Established LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Colombia,75,58,66,Yes 22  2010,77,40,63,42,28,48,74,77,48 321,78,11 890,6.8,1.47,77,0.62,102.85,10,49,Yes 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,Yes 22 ,Yes 39 ,Yes 29 ,Yes 32 ,No 18 ,Yes 28 ,Yes 76 ,Yes 65 ,National  Intermediate Pilot  Established,National  Intermediate Pilot  Established,National  Intermediate Pilot  Established,National  Intermediate Pilot  Established,National  Intermediate Pilot  Established,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,No 58 ,No 30 ,No 47 ,No 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO Region of the,Americas,Yes 18  2010,No 5 ,Yes 78 ,Yes 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,62,Yes 62 ,59,Yes 17  2007,    8  N A,Colombia,National  Intermediate  Local Established,Local Established,National Established,Intermediate Established,National  Intermediate  Local Established,Intermediate Established,National  Intermediate Established,National Established,National  Intermediate Established,National  Intermediate Established,National  Intermediate Pilot,National  Intermediate Established,National Pilot  Established,National  Intermediate  Local Established LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Comoros,No 75  N A,No 58  N A,Yes 66  2015,No 22  N A,No 77  Zero,No 40  Zero,No 63  Zero,No 42  Zero,No 28  N A,No 48 ,No 74  N A,No 77  N A,735,62,1 560,5.8,0.15,138,0.74,39.51,22,6,No 31 ,No 46 ,78,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,76,No 65 ,       ,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,No 58 ,No 30 ,Yes 47 ,No 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,No 58 ,Yes 69  WHO African,Region,No 18  N A,5,Yes 78 ,No 24 ,No 56 ,Yes 72 ,Yes 59 ,Yes 79 ,No 56 ,No 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Comoros,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Cabo Verde,Yes 75  2005,Yes 58  2007,Yes 66  2007,Yes 22  2012,Yes 77  50 75 ,No 40  Zero,Yes 63   25 ,Yes 42   25 ,Yes 28  2012,Yes 48 ,Yes 74   75 ,Yes 77  25 50 ,499,75,6 220,4.4,0.31,96,0.56,86.03,21,34.7,No 31 ,No 46 ,Yes 78 ,Yes 54 ,No 34 ,No 22 ,Yes 39 ,No 29 ,No 32 ,18,No 28 ,Yes 76 ,Yes 65 ,National Established,National Established,       ,National Established,National Established,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,Yes 30 ,Yes 47 ,No 46 ,Yes 31 ,Yes 34 ,Yes 2005,No,Yes 25 50 ,Yes 50 75 ,Yes 50 75 ,Yes 35 ,No 18 ,Yes 33 ,Yes 26 ,Yes 10 ,No 58 ,Yes 58 ,Yes 69  WHO African,Region,Yes 18  2010,Yes 5 ,Yes 78 ,Yes 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,Yes 17  1998,    8  N A Cabo,Verde,National Pilot,National Pilot,National Established,National Established,       ,       ,       ,National Established,National Established,National Established,National Established,       ,National Established,National Established LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Costa Rica,Yes 75  1973,Yes 58  2012,Yes 66  2012,Yes 22  1996,Yes 77   75 ,No 40  Zero,Yes 63   25 ,No 42  Zero,No 28  N A,No 48 ,Yes 74  25 50 ,Yes 77  25 50 ,4 872,79,13 570,9.9,1.11,60,0.77,111.92,12,47.5,Yes 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,Yes 28 ,Yes 76 ,Yes 65 ,Intermediate Established,Intermediate Established,       ,Intermediate Established,       ,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,Yes 30 ,Yes 47 ,Yes 46 ,Yes 31 ,Yes 34 ,Yes 2011,Yes,Yes 25 50 ,Yes  25 ,Yes  25 ,Yes 35 ,No 18 ,Yes 33 ,Yes 26 ,No 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO Region of the,Americas,No 18  N A,5,Yes 78 ,Yes 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,Yes 17  1988,Yes 8  1988 Costa,Rica,National Established,National Pilot,National Established,Intermediate Informal,National Established,Intermediate Pilot,National Established,National Pilot,Intermediate Pilot,National Established,Intermediate Informal,       ,National Pilot,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Cuba,Yes 75     ,Yes 58     ,Yes 66     ,Yes 22 ,Yes 77     ,    40  Zero,Yes 63   25 ,No 42  Zero,N A 28  N A,No 48 ,Yes 74  N A,Yes 77  N A,11 266,78,18 520,8.8,6.72,111,9.05,14.92,59,25.6,No 31 ,Yes 46 ,Yes 78 ,Yes 54 ,No 34 ,No 22 ,39,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,Local Pilot,       ,Local Pilot,       ,Local Pilot,No 58 ,No 39 ,No 50 ,No 47 ,No 38 ,No 42 ,No 58 ,No 30 ,No 47 ,No 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO Region of the,Americas,No 18  N A,5,Yes 78 ,No 24 ,No 56 ,72,Yes 59 ,79,No 56 ,No 62 ,No 62 ,No 59 ,Yes 17     ,    8  N A,Cuba,National Established,National Established,       ,       ,National Established,National Established,       ,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Cyprus,    75  N A,Yes 58  2013,No 66  N A,No 22  N A,Yes 77   75 ,No 40  Zero,Yes 63   25 ,No 42  Zero,Yes 28     ,Yes 48 ,Yes 74  25 50 ,Yes 77   25 ,1 141,82,28 830,7.4,2.33,45,4.46,98.4,38,61,31,46,78,54,34,22,39,29,32,18,28,76,65,Regional Pilot,       ,       ,Local Pilot,Regional Pilot,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,Yes 58 ,No 30 ,No 47 ,Yes 46 ,No 31 ,No 34 ,Yes    ,Yes,Yes    ,No N A,No N A,Yes 35 ,No 18 ,No 33 ,Yes 26 ,No 10 ,58,58,    69  WHO European,Region,18,5,78,24,56,72,59,79,56,62,62,59,    17  N A,    8  N A,Cyprus,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Czech Republic,Yes 75  2013,No 58  N A,Yes 66  2002,No 22  N A,Yes 77   25 ,    40  Zero,    63  Zero,Yes 42   25 ,N A 28  N A,N A 48 ,Yes 74  25 50 ,    77  N A,10 702,78,25 530,7.2,3.51,34,   ,126.85,71,75,No 31 ,No 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,Yes 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,Local Established,       ,Local Pilot,Local Established,Local Pilot,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,No 30 ,No 47 ,Yes 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,58,No 69  WHO European,Region,No 18  N A,5,78,No 24 ,No 56 ,No 72 ,No 59 ,Yes 79 ,56,Yes 62 ,62,Yes 59 ,No 17  N A,No 8  N A Czech,Republic,National Informal,Local Pilot,Local Pilot,Local Pilot,Intermediate Established,Local Pilot,Local Pilot,Intermediate Established,Local Pilot,Local Established,       ,Local Pilot,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Denmark,Yes 75     ,Yes 58     ,No 66  N A,Yes 22 ,Yes 77   75 ,Yes 40   25 ,No 63  Zero,Yes 42   25 ,No 28  N A,Yes 48 ,Yes 74  25 50 ,Yes 77   75 ,5 619,80,44 460,10.6,3.49,4,16.79,117.57,35,93,No 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,No 22 ,Yes 39 ,No 29 ,Yes 32 ,Yes 18 ,Yes 28 ,Yes 76 ,Yes 65 ,       ,National Established,National Established,Local Pilot,National Pilot,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,No 58 ,No 30 ,No 47 ,No 46 ,No 31 ,No 34 ,Yes    ,No,No N A,Yes    ,No N A,Yes 35 ,Yes 18 ,Yes 33 ,Yes 26 ,No 10 ,Yes 58 ,Yes 58 ,    69  WHO European,Region,No 18  N A,5,Yes 78 ,No 24 ,No 56 ,No 72 ,Yes 59 ,Yes 79 ,Yes 56 ,62,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Denmark,       ,Regional Pilot,       ,National Established,       ,       ,National Established,National Established,National Established,       ,Regional Established,Regional Pilot,Regional Pilot,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Dominican Republic,Yes 75  2014,Yes 58  2014,Yes 66  2006,No 22  N A,Yes 77   25 ,No 40  Zero,Yes 63   25 ,    42  Zero,No 28  N A,No 48 ,Yes 74  25 50 ,Yes 77   25 ,10 404,74,11 150,5.4,1.49,94,1.33,86.94,16,45,No 31 ,Yes 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,Yes 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,Local    ,Local Informal,International Informal,       ,       ,Yes 58 ,No 39 ,Yes 50 ,No 47 ,No 38 ,Yes 42 ,Yes 58 ,No 30 ,Yes 47 ,No 46 ,No 31 ,Yes 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO Region of the,Americas,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,79,56,Yes 62 ,62,59,Yes 17  2006,No 8  N A Dominican,Republic,Intermediate Pilot,National Established,Intermediate Established,Local Pilot,National Established,       ,National Informal,International Established,Local Established,International  National Established,Local Informal,Local Informal,Local Informal,National Established LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Algeria,Yes 75  1974,No 58  N A,Yes 66  2014,No 22  N A,Yes 77   75 ,Yes 40  Zero,Yes 63   25 ,No 42  Zero,No 28  N A,Yes 48 ,Yes 74  50 75 ,Yes 77  50 75 ,39 208,72,12 990,6.6,1.21,106,1.95,97.95,17,15.2,No 31 ,No 46 ,78,No 54 ,34,22,39,No 29 ,No 32 ,No 18 ,No 28 ,76,Yes 65 ,Local Established,       ,Intermediate Established,       ,       ,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,Yes 30 ,Yes 47 ,Yes 46 ,Yes 31 ,Yes 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO African,Region,No 18  N A,5,No 78 ,No 24 ,No 56 ,No 72 ,No 59 ,Yes 79 ,56,Yes 62 ,62,Yes 59 ,No 17  N A,No 8  N A,Algeria,National Established,National Established,       ,       ,       ,       ,National Established,International Established,Local Established,National Established,National Established,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Spain,Yes 75  1978,No 58  N A,Yes 66  1987,No 22  N A,Yes 77   75 ,Yes 40   25 ,Yes 63   25 ,Yes 42   25 ,Yes 28  1978,Yes 48 ,Yes 74   25 ,Yes 77  25 50 ,46 927,83,31 850,8.9,4.95,27,5.67,108.36,32,72,No 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,Yes 22 ,Yes 39 ,Yes 29 ,Yes 32 ,Yes 18 ,Yes 28 ,Yes 76 ,Yes 65 ,All Established,Intl  Reg  Intm  Loc Established,Regional  Intermediate  Local Pilot  Established,Regional  Intermediate  Local Pilot  Established,Reg  Nat  Intm  Loc Pilot  Established,Yes 58 ,No 39 ,Yes 50 ,Yes 47 ,No 38 ,No 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,Yes 2009,Yes,Yes  75 ,Yes 50 75 ,Yes 50 75 ,Yes 35 ,Yes 18 ,Yes 33 ,No 26 ,No 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO European,Region,No 18  N A,5,Yes 78 ,Yes 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Spain,Intl  Reg  Nat  Loc Established,All Informal  Established,Regional Established,Regional Established,Regional Pilot,Regional  Local Pilot  Established,Regional Pilot,National Established,International  Regional   National Pilot  Established,Local Informal,Regional Established,Regional  Local Pilot,       ,Regional Pilot LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Estonia,Yes 75  2008,Yes 58  2003,Yes 66  2014,No 22  N A,Yes 77   75 ,Yes 40  Zero,Yes 63   25 ,No 42  Zero,No 28  N A,Yes 48 ,Yes 74  25 50 ,Yes 77   25 ,1 287,77,24 230,5.7,3.24,22,6.38,160.41,54,79,No 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,Yes 22 ,Yes 39 ,Yes 29 ,Yes 32 ,Yes 18 ,Yes 28 ,Yes 76 ,Yes 65 ,National Established,National Established,National Established,International  National Pilot,International  Local Pilot,Yes 58 ,No 39 ,Yes 50 ,Yes 47 ,No 38 ,Yes 42 ,Yes 58 ,No 30 ,No 47 ,No 46 ,No 31 ,No 34 ,Yes 2007,Yes,Yes  75 ,Yes  75 ,Yes  75 ,No 35 ,No 18 ,Yes 33 ,Yes 26 ,No 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO European,Region,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,62,Yes 59 ,No 17  N A,No 8  N A,Estonia,National Established,National Established,National Established,Regional  National Established,National Established,National Informal,National Established,National Established,National Established,Intermediate Established,Intermediate Pilot,Regional  Intermediate Pilot,International Established,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
